id,id,name,slug,code,customer,quantity,buying_price,selling_price,quantity_alert,tax,tax_type,notes,product_image,supplier_id,category_id,brand_id,unit_id,created_at,updated_at,margin_percent,margin_amount
,,"5% Dextrose in 0.3% Sodium Chloride, 500ml ",,,1,3384,83.00,83.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"5% dextrose in 0.3% Sodium Chloride, 1000ml ",,,1,540,92.00,92.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"5% Dextrose in 0.9% Sodium Chloride, 1000ml ",,,1,540,92.00,92.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"5% Dextrose in 0.9% Sodium Chloride, 500ml ",,,1,0,83.00,83.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"Euro-Ion in D5 Water (Balanced Multiple Maint. Solution w/ 5% Dextrose) 500ml, ",,,1,6264,83.00,83.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"Euro-Ion in D5 Water (Balanced Multiple Maint. Solution w/ 5% Dextrose) 1000ml, ",,,1,0,92.00,92.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"5% Dextrose in Lactated Ringer's Solution, 1000ml ",,,1,0,92.00,92.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"5% Dextrose in Lactated Ringer's Solution, 500ml ",,,1,0,83.00,83.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"Eurosol-M in D5 Water (Balanced Multiple Main. Solution w/ 5% Dextrose) 1000ml, ",,,1,240,92.00,92.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"5% Dextrose in Water, 250ml (glass)",,,1,540,60.00,60.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"5% Dextrose in Water, 500ml, plastic",,,1,1032,83.00,83.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,," Dextrose in Water 500mg/ml 50%, 50ml",,,1,5,49.00,49.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"5% Dextrose in Water, 1000ml",,,1,0,92.00,92.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,5% dextrose in 0.45% Sodium Chlorise 500ml,,,1,0,83.00,83.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"20% Mannitol injection, 500ml (plastic)",,,1,0,150.00,150.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"6% Dextran 70 in 5% Dextrose, 500ml (glass)",,,1,0,440.00,440.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,10% Dextrose in water 500ml,,,1,0,83.00,83.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"Lactated Ringer's Solution, 1000ml ",,,1,4740,92.00,92.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"Lactated Ringer's Solution, 500ml ",,,1,7854,83.00,83.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"0.9% Sodium Chloride, 1000ml ",,,1,3688,92.00,92.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"0.9% Sodium Chloride, 500ml ",,,1,3360,83.00,83.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,Sterile Water for injection 50ml (plastic),,,1,920,42.00,42.00,10,,,,,,1,1,1,5/18/2026 22:44,5/18/2026 22:44,,
,,"Salbutamol 1mg/mL, 2.5mL Nebule ",,,1,12850,9.24,9.24,10,,,,,,1,1,2,5/18/2026 22:44,5/18/2026 22:44,,
,,Ipratropium+Salbutamol 2.5mL Nebule ,,,1,16620,22.99,22.99,10,,,,,,1,1,2,5/18/2026 22:44,5/18/2026 22:44,,
,,Acetylcysteine 200mg sachet,,,1,1057,,,,,,,,,,,,,,,
,,Acetylcysteine 100mg sachet,,,1,500,,,,,,,,,,,,,,,
,,Acetylcysteine 600mg effervescent in aluminum blister pack,,,1,5200,,,,,,,,,,,,,,,
,,Aciclovir 400mg,,,1,300,,,,,,,,,,,,,,,
,,"Aciclovir 200mg/5ml suspension, 60ml",,,1,25,,,,,,,,,,,,,,,
,,Aciclovir 400mg/5ml susp. 60ml,,,1,0,,,,,,,,,,,,,,,
,,"Adenosine 3mg/ml, 2ml",,,1,124,,,,,,,,,,,,,,,
,,Allopurinol 100mg tablet,,,1,1410,,,,,,,,,,,,,,,
,,Allopurinol 300mg tablet,,,1,620,,,,,,,,,,,,,,,
,,Aluminum Mag. Hydroxide suspension ,,,1,606,,,,,,,,,,,,,,,
,,Aluminum Mag. Hydroxide 200/100mg tablet,,,1,704,,,,,,,,,,,,,,,
,,Amikacin 250mg/2ml,,,1,430,,,,,,,,,,,,,,,
,,"Aminophylline 25mg/mL, 10mL  amp ",,,1,-10,,,,,,,,,,,,,,,
,,Amino Acid Solution for Hepatic Failure (Branched Chain) 500ml,,,1,20,,,,,,,,,,,,,,,
,,Amino Acid Solution for Pedia 6% vial ,,,1,0,,,,,,,,,,,,,,,
,,Amiodarone HCL 150mg/3ml,,,1,125,,,,,,,,,,,,,,,
,,"Amoxicillin (as Trihydrate) 100mg/ml, 20ml",,,1,172,,,,,,,,,,,,,,,
,,Amoxicillin  (as Trihydrate) 250mg suspension,,,1,100,,,,,,,,,,,,,,,
,,Amoxicillin 500mg,,,1,8700,,,,,,,,,,,,,,,
,,Ampicillin 1g,,,1,1970,,,,,,,,,,,,,,,
,,Ampicillin 250mg,,,1,3250,,,,,,,,,,,,,,,
,,Ampicillin 500mg,,,1,1800,,,,,,,,,,,,,,,
,,Ascorbic Acid 500mg tablet 100's,,,1,2800,,,,,,,,,,,,,,,
,,"Ascorbic Acid 100mg/5ml syrup, 60ml",,,1,402,,,,,,,,,,,,,,,
,,"Ascorbic Acid 100mg/ml drops, 30ml",,,1,11,,,,,,,,,,,,,,,
,,Aspirin 80mg ,,,1,1410,,,,,,,,,,,,,,,
,,Aspirin 100mg,,,1,0,,,,,,,,,,,,,,,
,,Atropine Sulfate 1mg/1mL amp ,,,1,135,,,,,,,,,,,,,,,
,,Atracurium 10mg/ml,,,1,0,,,,,,,,,,,,,,,
,,"ATS 1,500units, ampl10's",,,1,0,,,,,,,,,,,,,,,
,,"ATS 3,000units, amp 10's",,,1,-380,,,,,,,,,,,,,,,
,,"ATS 5,000units, amp 10's",,,1,0,,,,,,,,,,,,,,,
,,Azithromycin 500mg tablet 3's,,,1,3430,,,,,,,,,,,,,,,
,,Azithromycin 200mg/5mL powder for susp. 15mL,,,1,462,,,,,,,,,,,,,,,
,,Baclofen 10mg,,,1,10,,,,,,,,,,,,,,,
,,"Betamethasone cream 1mg/g cream, 5g",,,1,24,,,,,,,,,,,,,,,
,,"Bisacodyl 10mg, Suppository ",,,1,750,,,,,,,,,,,,,,,
,,"Bisacodyl 5mg, Suppository ",,,1,300,,,,,,,,,,,,,,,
,,Bisacodyl 5mg ,,,1,1470,,,,,,,,,,,,,,,
,,"Budesonide 250mcg/mL, 2mL *",,,1,5650,,,,,,,,,,,,,,,
,,"Bupivacaine 0.5% ""Heavy"" amp *",,,1,365,,,,,,,,,,,,,,,
,,Bupivacaine Isobaric 10ml,,,1,70,,,,,,,,,,,,,,,
,,Butamirate Citrate 50mg tablet ,,,1,2800,,,,,,,,,,,,,,,
,,Betahistine Hydrochloride 8mg,,,1,150,,,,,,,,,,,,,,,
,,Betahistine Hydrochloride 16mg,,,1,950,,,,,,,,,,,,,,,
,,Betahistine dihydrochloride 24mg,,,1,800,,,,,,,,,,,,,,,
,,Buthorphanol 2mg/ml,,,1,5,,,,,,,,,,,,,,,
,,Calcium Carbonate 500mg tablet ,,,1,6200,,,,,,,,,,,,,,,
,,"Calcium Gluconate 10%, 10mL amp",,,1,356,,,,,,,,,,,,,,,
,,Carbetocin 100mcg/ml,,,1,21,,,,,,,,,,,,,,,
,,"Carboprost Trometamol 250mcg/ml, 1ml",,,1,0,,,,,,,,,,,,,,,
,,Carvedilol 6.25mg,,,1,850,,,,,,,,,,,,,,,
,,Carvedilol 25,,,1,100,,,,,,,,,,,,,,,
,,Cefalexin 500mg,,,1,10800,,,,,,,,,,,,,,,
,,"Cefalexin 100mg/ml, 20ml",,,1,34,,,,,,,,,,,,,,,
,,"Cefalexin 250mg/5ml susp., 60ml",,,1,272,,,,,,,,,,,,,,,
,,Cefazolin 1g vial 10's,,,1,100,,,,,,,,,,,,,,,
,,"Cefixime 100mg/5mL for suspension, 60mL",,,1,228,,,,,,,,,,,,,,,
,,Cefixime trihydrate 200mg FCT,,,1,1380,,,,,,,,,,,,,,,
,,"Cefixime 20mg/ml drops,10ml",,,1,65,,,,,,,,,,,,,,,
,,Cefotaxime 1 gram vial,,,1,350,,,,,,,,,,,,,,,
,,Cefoxitin 1 gram,,,1,0,,,,,,,,,,,,,,,
,,Ceftazidime 1 gram,,,1,540,,,,,,,,,,,,,,,
,,"Ceftriaxone Sodium 1g, vial ",,,1,15500,,,,,,,,,,,,,,,
,,Cefuroxime 750mg vial ,,,1,19400,,,,,,,,,,,,,,,
,,Cefuroxime 500mg tablet ,,,1,2000,,,,,,,,,,,,,,,
,,"Cefuroxime 250mg/5ml suspension, 50ml",,,1,100,,,,,,,,,,,,,,,
,,Cefuroxime 250mg/5ml  susp. 60ml,,,1,3,,,,,,,,,,,,,,,
,,Celecoxib 200mg capsule ,,,1,32200,,,,,,,,,,,,,,,
,,Cetirizine 10mg tablet ,,,1,7200,,,,,,,,,,,,,,,
,,"Cetirizine 5mg/5 mL syrup, 60 mL ",,,1,1041,,,,,,,,,,,,,,,
,,Cetirizine 2.5mg/ml drops,,,1,395,,,,,,,,,,,,,,,
,,Chloramphenicol (as sodium succinate) 1gram powder for injection,,,1,0,,,,,,,,,,,,,,,
,,Cinnarizine 25mg tablet ,,,1,300,,,,,,,,,,,,,,,
,,Cinnarizine 75mg tablet ,,,1,0,,,,,,,,,,,,,,,
,,Ciprofloxacin 500mg tablet ,,,1,3800,,,,,,,,,,,,,,,
,,"Ciprofloxacin IV 2mg/ml, 100ml",,,1,1720,,,,,,,,,,,,,,,
,,Clarithromycin 500mg,,,1,50,,,,,,,,,,,,,,,
,,"Clarithromycin 250mg/5ml suspension, 50ml",,,1,50,,,,,,,,,,,,,,,
,,"Clarithromycin 125mg/5ml suspension, 50ml",,,1,50,,,,,,,,,,,,,,,
,,Clindamycin 150mg/ml 4ml amp,,,1,3855,,,,,,,,,,,,,,,
,,Clindamycin 300mg capsule ,,,1,500,,,,,,,,,,,,,,,
,,Cloxacillin 500mg capsule 100's,,,1,400,,,,,,,,,,,,,,,
,,"Cloxacillin 125mg/5ml, 60ml",,,1,20,,,,,,,,,,,,,,,
,,Cloxacillin 250mg/5mL 60mL suspension ,,,1,101,,,,,,,,,,,,,,,
,,Co-Amoxiclav 400mg/57mg/5mL susp 70mL,,,1,44,,,,,,,,,,,,,,,
,,"Co-Amoxiclav 250mg/62.5mg/5ml oral suspension, 60ml",,,1,62,,,,,,,,,,,,,,,
,,Co-amoxiclav 625mg tablet ,,,1,2660,,,,,,,,,,,,,,,
,,Colchicine 500mcg,,,1,1200,,,,,,,,,,,,,,,
,,"Dexamethasone 4mg/mL, 2mL ampul ",,,1,280,,,,,,,,,,,,,,,
,,"Diazepam 5mg/mL, 2mL amp ",,,1,0,,,,,,,,,,,,,,,
,,Diclofenac 50mg,,,1,30,,,,,,,,,,,,,,,
,,Dicycloverine HCL 10mg,,,1,350,,,,,,,,,,,,,,,
,,"Dicycloverine 10mg/5ml, syrup 60ml",,,1,186,,,,,,,,,,,,,,,
,,"Digoxin 250mcg/mL, 2mL amp",,,1,190,,,,,,,,,,,,,,,
,,Digoxin 250mcg tablet,,,1,550,,,,,,,,,,,,,,,
,,"Digoxin Elixir 50mcg/ml, 60ml syr.",,,1,10,,,,,,,,,,,,,,,
,,"Diphenhydramine 50mg/ml, 1ml",,,1,510,,,,,,,,,,,,,,,
,,"Diphenhydramine 12.5mg/ml syrup, 60ml",,,1,150,,,,,,,,,,,,,,,
,,Diphenhydramine 50mg,,,1,330,,,,,,,,,,,,,,,
,,"Dobutamine Hydrochloride 50mg/mL, 5mL amp",,,1,0,,,,,,,,,,,,,,,
,,"Dobutamine 12.5mg/ml, 20ml",,,1,236,,,,,,,,,,,,,,,
,,Domperidone 10mg tablet ,,,1,2950,,,,,,,,,,,,,,,
,,"Domperidone 1mg/mL, 60ml syrup",,,1,104,,,,,,,,,,,,,,,
,,"Dopamine HCL 40mg/ml, 5ml amp",,,1,1410,,,,,,,,,,,,,,,
,,Doxycycline 100mg,,,1,430,,,,,,,,,,,,,,,
,,Dydrogesterone  10mg,,,1,850,,,,,,,,,,,,,,,
,,Enalapril 5mg (as maleate),,,1,50,,,,,,,,,,,,,,,
,,Enoxaparin 4000IU/0.4ml pre-filled syringe,,,1,517,,,,,,,,,,,,,,,
,,Eperison 50mg,,,1,0,,,,,,,,,,,,,,,
,,"Epinephrine 1mg/ml, 1ml",,,1,741,,,,,,,,,,,,,,,
,,Ephedrine Sulfate 50mg/ml,,,1,0,,,,,,,,,,,,,,,
,,Erythromycin eye ointment 3.5g,,,1,80,,,,,,,,,,,,,,,
,,"Esmolol 10mg/ml, 10ml",,,1,0,,,,,,,,,,,,,,,
,,"Fentanyl 50mcg/ml, 2ml",,,1,0,,,,,,,,,,,,,,,
,,Ferrous Sulfate 325mg tablet ,,,1,1700,,,,,,,,,,,,,,,
,,"Ferrous Sulfate 30mg/5ml syrup, 60ml",,,1,108,,,,,,,,,,,,,,,
,,Ferrous Sulfate Drops 75mg/0.6ml,,,1,20,,,,,,,,,,,,,,,
,,Finasteride 5mg,,,1,880,,,,,,,,,,,,,,,
,,Fluconasole 150mg,,,1,100,,,,,,,,,,,,,,,
,,Folic Acid 2.5mg/ml drops,,,1,30,,,,,,,,,,,,,,,
,,Gabapentin 300mg,,,1,600,,,,,,,,,,,,,,,
,,"Gentamicin Sulfate 40mg/mL, 2mL vial ",,,1,2000,,,,,,,,,,,,,,,
,,"Gentamicin Eye/ear Drops 0.3%, 5mL",,,1,18,,,,,,,,,,,,,,,
,,Haloperidol 5mg/1mL amp,,,1,20,,,,,,,,,,,,,,,
,,Hepatitis B Vaccine,,,1,0,,,,,,,,,,,,,,,
,,Hepa B Immunoglobulin,,,1,0,,,,,,,,,,,,,,,
,,Hydrocortisone 100mg vial ,,,1,4820,,,,,,,,,,,,,,,
,,Hydrocortisone 250mg,,,1,750,,,,,,,,,,,,,,,
,,Hydrocortisone cream 15g,,,1,25,,,,,,,,,,,,,,,
,,"Hydroxyethyl starch solution (VOLUVEN), 500ml",,,1,100,,,,,,,,,,,,,,,
,,Hydroxyzine 10mg,,,1,100,,,,,,,,,,,,,,,
,,Hyoscine N-butyl bromide 10mg,,,1,730,,,,,,,,,,,,,,,
